dcmiTotal, influxTotal, totalTime
18861.382978723403,21691.964285714286,113
18032.826923076926,19679.25,114
17820.83695652174,19859.75,113
18847.21052631579,20242.694444444445,113
17677.97701149425,19908.0,112
